	url	q3	perceived	primary.topic	secondary.topic	democrat.vote	republican.vote	domain	text
4217	http://www.nytimes.com/2013/09/25/opinion/the-embarrassment-of-senator-ted-cruz.html	News	1	Republican Scandals	Healthcare	Neutral	SomewhatNegative	nytimes.com	400
4221	http://www.nytimes.com/2013/04/08/opinion/krugman-insurance-and-freedom.html	Opinion	0	Republican Scandals	Healthcare	Positive	Negative	nytimes.com	400
4241	http://www.nytimes.com/2013/04/18/us/justices-bar-us-suit-in-nigerian-human-rights-case.html	Opinion	1	Civil Rights	International News	Neutral	Neutral	nytimes.com	400
4256	http://www.nytimes.com/2013/11/03/world/no-morsel-too-minuscule-for-all-consuming-nsa.html	News	1	Civil Rights	International News	Neutral	Neutral	nytimes.com	400
4258	http://www.nytimes.com/2013/12/15/us/officials-say-us-may-never-know-extent-of-snowdens-leaks.html	News	0	Civil Rights	International News	Neutral	Neutral	nytimes.com	400
4271	http://www.nytimes.com/2013/12/17/world/europe/us-germany-intelligence-partnership-falters-over-spying.html	News	1	Democrat Scandals	International News	SomewhatNegative	Neutral	nytimes.com	400
4276	http://www.nytimes.com/2013/06/20/world/europe/obama-in-germany.html	News	1	Democrat Scandals	International News	Neutral	Neutral	nytimes.com	400
4335	http://www.nytimes.com/2013/05/01/business/banks-criticize-strict-controls-for-foreign-bets.html	News	0	Economy	International News	Neutral	Neutral	nytimes.com	400
4361	http://www.nytimes.com/2013/05/13/world/middleeast/two-last-minute-presidential-candidates-in-iran-draw-strong-reactions.html	News	1	Elections	International News	Neutral	Neutral	nytimes.com	400
4446	http://www.nytimes.com/2013/04/14/us/wayne-lapierre-the-gun-man-sticking-to-his-cause.html	other	0	Gun Rights Regulation	International News	Neutral	Neutral	nytimes.com	400
4464	http://www.nytimes.com/2013/09/02/world/middleeast/overseas-concern-follows-obamas-new-approach-to-syria.html	Opinion	1	International News	International News	Neutral	Neutral	nytimes.com	400
4512	http://www.nytimes.com/2013/06/03/opinion/keller-secrets-and-leaks.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4513	http://www.nytimes.com/2013/05/07/world/asia/us-accuses-chinas-military-in-cyberattacks.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4519	http://www.nytimes.com/2013/02/18/opinion/about-those-black-sites.html	News	1	National Security	International News	SomewhatNegative	Neutral	nytimes.com	400
4523	http://www.nytimes.com/2013/08/05/world/us-extends-closing-of-some-diplomatic-posts.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4560	http://www.nytimes.com/2013/07/15/business/global/nsa-leaks-stir-plans-in-russia-to-control-net.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4595	http://www.nytimes.com/2013/11/02/world/europe/snowden-appeals-to-us-for-clemency.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4596	http://www.nytimes.com/2013/09/07/world/middleeast/photos-tell-a-tale-of-anguished-deliberations.html	News	0	National Security	International News	SomewhatPositive	SomewhatNegative	nytimes.com	400
4597	http://thelede.blogs.nytimes.com/2013/07/12/first-image-of-snowden-in-moscow-appears/	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4602	http://www.nytimes.com/2013/07/27/world/europe/edward-snowden.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4606	http://www.nytimes.com/2013/05/20/world/asia/chinese-hackers-resume-attacks-on-us-targets.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4608	http://www.nytimes.com/2012/09/26/world/obamas-speech-to-the-united-nations-general-assembly-text.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4611	http://www.nytimes.com/2013/09/14/world/middleeast/russia-united-states-syria-talks.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4617	http://www.nytimes.com/2013/04/19/opinion/south-koreas-nuclear-ambitions.html	News	0	National Security	International News	SomewhatNegative	Neutral	nytimes.com	400
4620	http://www.nytimes.com/2013/07/04/world/snowden.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4624	http://www.nytimes.com/2013/06/23/opinion/sunday/america-can-take-a-breather-and-it-should.html	Opinion	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4625	http://www.nytimes.com/2013/11/12/opinion/iran-nuclear-talks-unfinished-but-alive.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4626	http://www.nytimes.com/2013/06/24/world/offering-snowden-aid-wikileaks-gets-back-in-the-game.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4630	http://www.nytimes.com/2013/04/01/world/hagel-facing-some-tough-decisions-at-pentagon.html	News	1	National Security	International News	SomewhatPositive	Neutral	nytimes.com	400
4660	http://www.nytimes.com/2013/05/23/us/us-acknowledges-killing-4-americans-in-drone-strikes.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4663	http://www.nytimes.com/2013/10/15/world/middleeast/us-iran-sanctions.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4684	http://www.nytimes.com/2013/06/23/opinion/sunday/america-can-take-a-breather-and-it-should.html	Opinion	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4713	http://www.nytimes.com/2013/04/21/world/middleeast/kerry-says-us-to-double-aid-to-the-opposition-in-syria.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4715	http://www.nytimes.com/2013/11/07/world/middleeast/west-close-to-temporary-nuclear-deal-with-iran-official-says.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4719	http://www.nytimes.com/2013/05/26/world/asia/in-afghan-transition-us-forces-take-a-step-back.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4732	http://www.nytimes.com/2013/12/04/world/asia/biden-in-japan-calibrates-message-over-tensions-with-china.html	News	1	National Security	International News	SomewhatPositive	Neutral	nytimes.com	400
4747	http://www.nytimes.com/2013/09/07/world/middleeast/photos-tell-a-tale-of-anguished-deliberations.html	News	1	National Security	International News	Positive	Neutral	nytimes.com	400
4755	http://www.nytimes.com/2013/06/24/world/offering-snowden-aid-wikileaks-gets-back-in-the-game.html	other	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4757	http://www.nytimes.com/2013/09/06/us/nsa-foils-much-internet-encryption.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4790	http://www.nytimes.com/2013/09/06/us/nsa-foils-much-internet-encryption.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4794	http://www.nytimes.com/2013/05/26/us/leaks-inquiries-show-how-wide-a-net-is-cast.html	News	0	National Security	International News	SomewhatNegative	Neutral	nytimes.com	400
4852	http://www.nytimes.com/2013/08/03/world/middleeast/qaeda-messages-prompt-us-terror-warning.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
4870	http://www.nytimes.com/2013/09/05/world/middleeast/obama-faces-barrier-in-his-own-party-on-syria.html	News	0	National Security	International News	SomewhatNegative	Neutral	nytimes.com	400
4876	http://www.nytimes.com/2013/06/12/opinion/surveillance-snowden-doesnt-rise-to-traitor.html	Opinion	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4879	http://www.nytimes.com/2013/10/24/world/middleeast/kerry-reassures-israel-on-iran-but-divisions-remain.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4896	http://www.nytimes.com/2013/05/23/us/us-acknowledges-killing-4-americans-in-drone-strikes.html	News	1	National Security	International News	SomewhatPositive	Neutral	nytimes.com	400
4928	http://www.nytimes.com/2013/09/22/opinion/sunday/close-the-nsas-back-doors.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4946	http://www.nytimes.com/2013/07/09/world/asia/frustrated-obama-considers-full-troop-withdrawal-from-afghanistan.html	News	1	National Security	International News	SomewhatPositive	Neutral	nytimes.com	400
4948	http://www.nytimes.com/2013/04/29/world/asia/cia-delivers-cash-to-afghan-leaders-office.html	News	1	National Security	International News	SomewhatNegative	SomewhatNegative	nytimes.com	400
4949	http://www.nytimes.com/2013/09/08/opinion/sunday/dowd-barrys-war-within.html	Opinion	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4950	http://www.nytimes.com/2013/12/08/world/asia/biden-peers-into-north-korea-at-tense-border.html	News	0	National Security	International News	SomewhatPositive	Neutral	nytimes.com	400
4974	http://www.nytimes.com/2013/05/20/world/asia/chinese-hackers-resume-attacks-on-us-targets.html	News	1	National Security	International News	SomewhatPositive	Neutral	nytimes.com	400
4975	http://www.nytimes.com/2013/02/25/world/asia/us-confronts-cyber-cold-war-with-china.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
4981	http://www.nytimes.com/2013/09/19/opinion/global/lets-be-honest-about-israels-nukes.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
5004	http://www.nytimes.com/2013/07/15/business/global/nsa-leaks-stir-plans-in-russia-to-control-net.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
5011	http://www.nytimes.com/2013/07/02/world/europe/snowden-applies-for-asylum-in-russia.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
5019	http://www.nytimes.com/2013/09/28/world/obama-says-he-spoke-to-irans-president-by-phone.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
5021	http://www.nytimes.com/2013/11/23/us/politics/nsa-report-outlined-goals-for-more-power.html	Opinion	1	National Security	International News	Neutral	Neutral	nytimes.com	400
5025	http://www.nytimes.com/2013/12/26/world/europe/snowden-christmas-message-privacy.html	News	1	National Security	International News	Neutral	Neutral	nytimes.com	400
5028	http://www.nytimes.com/2013/06/09/world/middleeast/us-helps-allies-trying-to-battle-iranian-hackers.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
5029	http://www.nytimes.com/2013/10/24/world/middleeast/kerry-reassures-israel-on-iran-but-divisions-remain.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
5034	http://www.nytimes.com/2013/03/30/world/asia/kim-jong-un-of-north-korea-orders-missile-readiness.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
5047	http://www.nytimes.com/2013/07/09/world/asia/frustrated-obama-considers-full-troop-withdrawal-from-afghanistan.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
5064	http://www.nytimes.com/2013/09/30/us/qaeda-plot-leak-has-undermined-us-intelligence.html	News	0	National Security	International News	Neutral	Neutral	nytimes.com	400
5114	http://www.nytimes.com/2013/02/10/world/obamas-turn-in-bushs-bind-with-defense-policies.html	News	0	None	International News	SomewhatNegative	SomewhatNegative	nytimes.com	400
5129	http://www.nytimes.com/2013/05/10/opinion/the-republicans-benghazi-obsession.html	News	0	Republican Scandals	International News	Neutral	SomewhatNegative	nytimes.com	400
5152	http://www.nytimes.com/2013/06/08/us/national-security-agency-surveillance.html	News	0	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5154	http://www.nytimes.com/2013/07/14/us/obama-remark-is-complicating-military-trials.html	News	1	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5172	http://www.nytimes.com/2013/04/22/opinion/how-to-handle-a-terrorism-case.html	Opinion	1	Civil Rights	National Security	SomewhatPositive	Negative	nytimes.com	400
5176	http://www.nytimes.com/2013/05/14/us/phone-records-of-journalists-of-the-associated-press-seized-by-us.html	News	0	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5187	http://www.nytimes.com/2013/07/08/us/privacy-group-to-ask-supreme-court-to-stop-nsas-phone-spying-program.html	News	0	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5189	http://www.nytimes.com/2013/12/22/us/white-house-tries-to-prevent-judge-from-ruling-on-surveillance-efforts.html	News	1	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5196	http://www.nytimes.com/2013/08/09/opinion/breaking-through-limits-on-spying.html	Opinion	1	Civil Rights	National Security	SomewhatNegative	Neutral	nytimes.com	400
5200	http://www.nytimes.com/2013/12/13/world/americas/obama-panel-said-to-urge-nsa-curbs.html	News	1	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5209	http://www.nytimes.com/2013/05/25/us/federal-judge-finds-violations-of-rights-by-sheriff-joe-arpaio.html	News	1	Civil Rights	National Security	Neutral	SomewhatNegative	nytimes.com	400
5235	http://www.nytimes.com/2013/06/03/opinion/keller-secrets-and-leaks.html	News	0	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5249	http://www.nytimes.com/2013/04/12/us/politics/house-democrats-present-immigration-overhaul-plan.html	News	0	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5258	http://www.nytimes.com/2013/11/19/us/latest-release-of-documents-on-nsa-includes-2004-ruling-on-email-surveillance.html	News	1	Civil Rights	National Security	SomewhatNegative	SomewhatNegative	nytimes.com	400
5277	http://www.nytimes.com/2013/08/10/us/politics/obama-news-conference.html	News	0	Civil Rights	National Security	SomewhatNegative	SomewhatNegative	nytimes.com	400
5279	http://www.nytimes.com/2013/08/06/us/tsa-expands-duties-beyond-airport-security.html	News	0	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5283	http://www.nytimes.com/2013/11/19/us/latest-release-of-documents-on-nsa-includes-2004-ruling-on-email-surveillance.html	News	0	Civil Rights	National Security	Neutral	Neutral	nytimes.com	400
5284	http://www.nytimes.com/2013/06/18/us/justices-reject-arizona-voting-law-requiring-proof-of-citizenship.html	News	0	Civil Rights	National Security	SomewhatNegative	SomewhatNegative	nytimes.com	400
5288	http://www.nytimes.com/2013/04/21/us/a-debate-over-delaying-suspects-miranda-rights.html	News	0	Civil Rights	National Security	SomewhatNegative	Neutral	nytimes.com	400
5303	http://www.nytimes.com/2013/04/21/us/a-debate-over-delaying-suspects-miranda-rights.html	News	1	Democrat Scandals	National Security	SomewhatNegative	Neutral	nytimes.com	400
5304	http://www.nytimes.com/2013/05/10/opinion/the-republicans-benghazi-obsession.html	Opinion	1	Democrat Scandals	National Security	Neutral	SomewhatNegative	nytimes.com	400
5321	http://www.nytimes.com/2013/06/08/us/national-security-agency-surveillance.html	News	1	Democrat Scandals	National Security	Negative	Neutral	nytimes.com	400
5380	http://www.nytimes.com/2013/05/07/us/suit-cites-race-bias-in-farms-use-of-immigrants.html	News	1	Economy	National Security	Neutral	Neutral	nytimes.com	400
5398	http://takingnote.blogs.nytimes.com/2013/06/14/g-o-p-spendthrifts-preserve-government-expansion/	News	0	Economy	National Security	Neutral	Negative	nytimes.com	400
5407	http://www.nytimes.com/2013/08/12/opinion/republicans-and-democrats-both-miscalculated.html	Opinion	1	Economy	National Security	SomewhatNegative	SomewhatNegative	nytimes.com	400
5417	http://www.nytimes.com/2013/08/12/opinion/republicans-and-democrats-both-miscalculated.html	Opinion	0	Economy	National Security	SomewhatNegative	Negative	nytimes.com	400
5460	http://www.nytimes.com/2013/02/27/business/energy-environment/a-divisive-debate-on-need-for-more-nuclear-safeguards.html	News	1	Environment	National Security	Neutral	Neutral	nytimes.com	400
5511	http://www.nytimes.com/2013/06/24/world/asia/nsa-leaker-leaves-hong-kong-local-officials-say.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5518	http://www.nytimes.com/2013/07/18/opinion/the-drone-that-killed-my-grandson.html	Opinion	0	International News	National Security	SomewhatNegative	Neutral	nytimes.com	400
5525	http://www.nytimes.com/2013/07/04/world/snowden.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5526	http://www.nytimes.com/2013/06/25/world/asia/snowden-departure-from-hong-kong.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5539	http://www.nytimes.com/2013/09/28/world/obama-says-he-spoke-to-irans-president-by-phone.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5547	http://www.nytimes.com/2013/11/19/world/middleeast/split-on-accord-on-iran-strains-us-israel-ties.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5604	http://www.nytimes.com/2013/07/25/world/europe/snowden.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5627	http://www.nytimes.com/2013/12/17/world/europe/us-germany-intelligence-partnership-falters-over-spying.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5643	http://www.nytimes.com/2013/09/30/us/qaeda-plot-leak-has-undermined-us-intelligence.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5656	http://thelede.blogs.nytimes.com/2013/08/31/lawmakers-respond-on-twitter-to-obamas-statement-on-a-syria-vote/	News	1	International News	National Security	SomewhatPositive	SomewhatPositive	nytimes.com	400
5664	http://thelede.blogs.nytimes.com/2013/07/24/the-third-man-on-snowdens-reading-list/	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5675	http://www.nytimes.com/2013/12/04/world/asia/biden-in-japan-calibrates-message-over-tensions-with-china.html	News	0	International News	National Security	SomewhatPositive	SomewhatPositive	nytimes.com	400
5701	http://www.nytimes.com/2013/07/25/world/europe/snowden.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5711	http://www.nytimes.com/2013/07/05/world/middleeast/for-islamists-lessons-in-politics-and-governing.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5715	http://www.nytimes.com/2013/06/24/world/asia/nsa-leaker-leaves-hong-kong-local-officials-say.html	News	1	International News	National Security	SomewhatNegative	Neutral	nytimes.com	400
5720	http://www.nytimes.com/2013/08/21/world/middleeast/irans-new-foreign-minister-may-lead-nuclear-talks.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5725	http://www.nytimes.com/2013/08/02/world/europe/edward-snowden-russia.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5744	http://www.nytimes.com/2013/06/10/world/middleeast/iran-candidates-toe-hard-line-for-nuclear-bid.html	News	1	International News	National Security	SomewhatNegative	Neutral	nytimes.com	400
5750	http://www.nytimes.com/2013/09/09/world/middleeast/obama-tests-limits-of-power-in-syrian-conflict.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5758	http://www.nytimes.com/2013/12/28/world/asia/deal-to-move-okinawa-base-wins-approval.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5768	http://thelede.blogs.nytimes.com/2013/07/12/first-image-of-snowden-in-moscow-appears/	News	1	International News	National Security	SomewhatNegative	Neutral	nytimes.com	400
5769	http://www.nytimes.com/2013/09/24/world/middleeast/iran-nuclear-dispute.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5770	http://www.nytimes.com/2013/09/08/us/politics/obamas-battle-for-syria-votes-taut-and-uphill.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5790	http://www.nytimes.com/2013/10/16/world/middleeast/in-new-nuclear-talks-technological-gains-by-iran-pose-challenges-to-the-west.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5800	http://www.nytimes.com/2013/03/06/world/middleeast/report-details-mistakes-made-by-us-in-improvement-projects-for-iraq.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5808	http://www.nytimes.com/2013/09/23/opinion/short-of-a-deal-containing-iran-is-the-best-option.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5858	http://thelede.blogs.nytimes.com/2013/07/24/the-third-man-on-snowdens-reading-list/	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5874	http://www.nytimes.com/2013/11/07/world/middleeast/west-close-to-temporary-nuclear-deal-with-iran-official-says.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5875	http://www.nytimes.com/2013/12/08/world/asia/biden-peers-into-north-korea-at-tense-border.html	other	1	International News	National Security	SomewhatPositive	Neutral	nytimes.com	400
5885	http://www.nytimes.com/2013/03/30/world/asia/kim-jong-un-of-north-korea-orders-missile-readiness.html	other	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5893	http://www.nytimes.com/2013/09/08/world/asia/pakistan-releases-taliban-fighters-to-aid-afghan-peace-effort.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5899	http://www.nytimes.com/2013/08/27/world/middleeast/syria-assad.html	News	1	International News	National Security	SomewhatPositive	Neutral	nytimes.com	400
5914	http://www.nytimes.com/2013/09/19/opinion/global/lets-be-honest-about-israels-nukes.html	Opinion	0	International News	National Security	Negative	Neutral	nytimes.com	400
5920	http://www.nytimes.com/2013/01/09/world/asia/us-is-open-to-withdraw-afghan-force-after-2014.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
5948	http://www.nytimes.com/2013/08/27/world/middleeast/syria-assad.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5965	http://www.nytimes.com/2013/10/16/world/middleeast/in-new-nuclear-talks-technological-gains-by-iran-pose-challenges-to-the-west.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
5972	http://www.nytimes.com/2013/04/21/world/middleeast/kerry-says-us-to-double-aid-to-the-opposition-in-syria.html	News	0	International News	National Security	SomewhatPositive	Neutral	nytimes.com	400
6003	http://www.nytimes.com/2013/12/03/world/middleeast/kurds-oil-deals-with-turkey-raise-fears-of-fissures-in-iraq.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6010	http://www.nytimes.com/2013/09/16/world/middleeast/brief-respite-for-president-but-no-plan-b-on-syria.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6031	http://www.nytimes.com/2013/11/13/opinion/friedman-what-about-us.html	Opinion	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6037	http://www.nytimes.com/2013/09/10/world/middleeast/kerry-says-syria-should-hand-over-all-chemical-arms.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6038	http://www.nytimes.com/2013/09/11/opinion/friedman-threaten-to-threaten.html	Opinion	0	International News	National Security	SomewhatPositive	Neutral	nytimes.com	400
6041	http://www.nytimes.com/2013/08/26/opinion/keller-adrift-on-the-nile.html	Opinion	1	International News	National Security	SomewhatNegative	Neutral	nytimes.com	400
6042	http://www.nytimes.com/2013/12/26/world/middleeast/us-sends-arms-to-aid-iraq-fight-with-extremists.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6045	http://www.nytimes.com/2012/09/21/world/africa/after-attack-in-libya-ambush-struck-rescuers.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6047	http://www.nytimes.com/2013/04/20/world/asia/study-finds-sharp-rise-in-attacks-by-afghan-taliban.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6063	http://www.nytimes.com/2013/11/12/opinion/iran-nuclear-talks-unfinished-but-alive.html	Opinion	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6067	http://www.nytimes.com/2013/01/13/magazine/shimon-peres-on-obama-iran-and-the-path-to-peace.html	other	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6080	http://www.nytimes.com/2013/02/05/world/americas/us-stepped-in-to-halt-mexican-generals-rise.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6086	http://www.nytimes.com/roomfordebate/2013/05/12/judging-hillary-clinton-as-secretary-of-state/hillary-clintons-view-of-the-islamic-world-was-myopic	Opinion	1	International News	National Security	Neutral	SomewhatNegative	nytimes.com	400
6090	http://www.nytimes.com/roomfordebate/2013/05/12/judging-hillary-clinton-as-secretary-of-state/hillary-clintons-view-of-the-islamic-world-was-myopic	Opinion	0	International News	National Security	SomewhatNegative	Neutral	nytimes.com	400
6091	http://www.nytimes.com/2013/04/23/world/middleeast/israel-hagel-iran.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6103	http://www.nytimes.com/2013/12/03/world/middleeast/kurds-oil-deals-with-turkey-raise-fears-of-fissures-in-iraq.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6106	http://www.nytimes.com/2013/06/02/opinion/sunday/how-to-play-well-with-china.html	Opinion	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6115	http://www.nytimes.com/2013/03/16/us/arizona-border-security.html	News	1	International News	National Security	Neutral	SomewhatNegative	nytimes.com	400
6118	http://www.nytimes.com/2013/08/05/world/us-extends-closing-of-some-diplomatic-posts.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6123	http://www.nytimes.com/2013/08/03/world/middleeast/qaeda-messages-prompt-us-terror-warning.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6129	http://www.nytimes.com/2013/09/23/opinion/short-of-a-deal-containing-iran-is-the-best-option.html	News	1	International News	National Security	SomewhatNegative	SomewhatPositive	nytimes.com	400
6130	http://www.nytimes.com/2013/06/20/world/europe/obama-in-germany.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6167	http://www.nytimes.com/2013/06/09/world/middleeast/us-helps-allies-trying-to-battle-iranian-hackers.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6180	http://www.nytimes.com/2013/02/12/world/africa/militant-threats-test-pentagons-role-in-africa.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6188	http://www.nytimes.com/2013/06/01/world/middleeast/us-targets-irans-petrochemical-industry.html	News	1	International News	National Security	SomewhatNegative	Neutral	nytimes.com	400
6213	http://www.nytimes.com/2013/06/30/world/middleeast/sending-missiles-to-syrian-rebels-qatar-muscles-in.html	News	1	International News	National Security	Neutral	Neutral	nytimes.com	400
6214	http://www.nytimes.com/2013/11/02/world/europe/snowden-appeals-to-us-for-clemency.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6234	http://www.nytimes.com/2013/12/21/us/air-force-removed-general-over-drunken-behavior-in-moscow.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6243	http://www.nytimes.com/2013/11/30/world/asia/china-scrambles-jets-for-first-time-in-new-air-zone.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6266	http://www.nytimes.com/2013/05/07/world/asia/us-accuses-chinas-military-in-cyberattacks.html	News	0	International News	National Security	SomewhatNegative	Neutral	nytimes.com	400
6270	http://www.nytimes.com/2013/06/02/opinion/sunday/how-to-play-well-with-china.html	Opinion	0	International News	National Security	SomewhatPositive	SomewhatNegative	nytimes.com	400
6278	http://www.nytimes.com/2013/04/02/world/asia/south-korea-gives-military-leeway-to-answer-north.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6281	http://www.nytimes.com/2013/10/03/opinion/america-mustnt-be-naive-about-iran.html	Opinion	0	International News	National Security	SomewhatPositive	Neutral	nytimes.com	400
6285	http://www.nytimes.com/2013/08/21/world/middleeast/irans-new-foreign-minister-may-lead-nuclear-talks.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6299	http://www.nytimes.com/2013/06/18/us/politics/in-round-3-immigration-bill-faces-sessions-who-won-rounds-1-and-2.html	News	0	International News	National Security	Neutral	SomewhatNegative	nytimes.com	400
6305	http://www.nytimes.com/2013/07/19/world/europe/moscow-trip-for-obama-may-be-off-as-snowden-tensions-build.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6319	http://www.nytimes.com/2013/11/26/opinion/cohen-israels-iran-dilemma.html	News	0	International News	National Security	SomewhatPositive	Neutral	nytimes.com	400
6329	http://www.nytimes.com/2013/09/03/world/europe/us-russian-ties-still-fall-short-of-reset-goal.html	News	0	International News	National Security	Neutral	Neutral	nytimes.com	400
6342	http://www.nytimes.com/2013/05/26/us/leaks-inquiries-show-how-wide-a-net-is-cast.html	other	1	National Security	National Security	Neutral	Neutral	nytimes.com	400
6351	http://www.nytimes.com/2013/12/15/us/officials-say-us-may-never-know-extent-of-snowdens-leaks.html	News	1	National Security	National Security	Neutral	Neutral	nytimes.com	400
6352	http://www.nytimes.com/2013/06/28/us/politics/immigration-bill-clears-final-hurdle-to-senate-approval.html	News	1	National Security	National Security	Neutral	Neutral	nytimes.com	400
6362	http://www.nytimes.com/2013/12/13/world/americas/obama-panel-said-to-urge-nsa-curbs.html	News	0	None	National Security	Neutral	Neutral	nytimes.com	400
6381	http://www.nytimes.com/2013/10/13/magazine/the-final-insult-in-the-bush-cheney-marriage.html	News	1	Republican Scandals	National Security	Neutral	SomewhatNegative	nytimes.com	400
