	url	q3	perceived	primary.topic	secondary.topic	democrat.vote	republican.vote	domain	text
12063	http://www.breitbart.com/Big-Government/2013/03/01/Greens-Fret-Over-Obama-Admin-Keystone-Report	News	1	Environment	None	Neutral	Neutral	breitbart.com	400
12086	http://www.breitbart.com/Big-Government/2013/11/12/Obama-Ethanol-Policy-Eroding-Conserved-Lands	Opinion	0	Environment	None	SomewhatNegative	Neutral	breitbart.com	"
Doug Davenport, a Department of Agriculture official, is a true believer in the conservation of America’s land. When Davenport told the Associated Press he was deeply concerned about the havoc ethanol production was causing to these lands, he got an email from Tom Vilsack, U.S. Secretary of Agriculture. The message was to stop talking.
Vilsack wants to make sure all are in line: “We just want to have a consistent message on the topic.” Recently, he insisted to an audience of ethanol lobbyists on Capitol Hill that being for ethanol is a good thing. In contrast, environmentalists argue that the push for ethanol has increased prices for corn, incentivizing farmers to convert millions of acres of erodible land for the planting of additional corn fields. This practice has ruined the lands, poisoned streams, and devastated fragile eco-systems.


Converting corn to ethanol was conceived as a “green” program to decrease fossil fuel emissions and to therefore aid in the reduction of global warming. Unfortunately, “green” programs sometimes don’t turn out so green. The mandate which dictates that gasoline have a certain percentage of ethanol has proven to be ineffectual when looking at the overall energy equation in America. 

Since Barak Obama came into office five years ago, he has proselytized and created policy encouraging farmers to reap the rewards of ethanol production. As a result, five million acres of green grassy rolling hills that had been reserved for conservation purposes are gone. Moreover, the process of growing this vast amount of corn draws upon countless other energy sources, using excessive water resources and increased natural gas and coal usage. The rise in fertilizer usage has amplified nitrates and nitrogen in water streams, creating aquatic dead zones in the Gulf of Mexico. 
Sadly, children have also been stricken with “blue baby” syndrome as a result of the nitrate poisoning.
 All of this leads to the conclusion that this slaughter of our environment is not only destructive but pointless. In a Congressional report on the effects of ethanol production, the EPA indicated it was “uncertain” that farmers should plant on land set aside for conservation, while the Department of Energy was resolute, saying conservation land “is unsuitable for use for annual row crop production.” 
Bob Sussman, retired EPA senior policy counsel, lamented, “I don’t remember anybody having great passion for this.” He added, “I don’t have a lot of personal enthusiasm for the program.”
"
12106	http://www.breitbart.com/Big-Journalism/2013/09/27/ant-science-cnn-ignores-global-warming-good-news	Opinion	0	Environment	None	Neutral	Neutral	breitbart.com	"
All Friday morning, every hour on the hour, CNN has been broadcasting a fear-mongering segment about rising water levels in the city of Miami, Florida. The hysterical CNN reporter not only blames Global Warming but also any country that burns energy. You can watch the segment below, but what you won’t see are CNN anchors Carol Costello and Ashleigh Banfield fret over the fact that we are all doomed: 
—



—
What the anti-science CNN is withholding from its audience, though, is the good news that there actually is no Global Warming. Global temperatures have not increased for fifteen years. Moreover, we have just learned that the Antarctic sea ice is at its highest level in 35 years. 

CNN is lying through the dark art of omission. Context is kryptonite to any left-wing media outlet trying to pose as objective.  
Moreover, if CNN truly believed that burning energy dooms the planet and mankind, why doesn’t CNN go off the air? The energy this network burns to spew anti-science reports likely puts more carbon in the air in an hour than I will during my entire lifetime — and I regularly burn tires in front of my hippie neighbors. 
But that is the whole thing with these anti-science Global Warming truthers, isn’t it — that they don’t behave like people who actually believe burning energy is dooming the planet. And that is because they know it is a lie. Global Warming is a left-wing hoax; it is not some coincidence that the only way to save the planet is to check off every box on The Socialist Wishlist.   
When Carol Costello and Ashleigh Banfield rent a single room, ride a bike, and throw away the overused stair-stepper, that might get my attention. 
As it is, though, CNN is not only dishonest and anti-science; they are a bunch of flaming hypocrites. 
 
Follow  John Nolte on Twitter @NolteNC       
"
12114	http://www.breitbart.com/Big-Government/2013/03/01/Greens-Fret-Over-Obama-Admin-Keystone-Report	News	0	Environment	None	SomewhatNegative	Neutral	breitbart.com	400
12115	http://www.breitbart.com/Big-Government/2013/06/25/In-Speech-Obama-to-Destroy-Coal-Industry-in-Order-to-Save-It	News	0	Environment	None	SomewhatNegative	Neutral	breitbart.com	"
President Barack Obama will deliver a speech at Georgetown University Tuesday afternoon in which he will call for new regulations aimed at restricting carbon dioxide emissions from existing coal-fired power plants, not just new ones. Previously, Obama had aimed regulations at new coal plants. Shares of U.S. coal stocks plummeted ahead of the speech, though the Washington Post suggested global market turmoil played a role.
The Obama administration has been uniquely hostile to coal and other fossil fuels, despite the fact that the rapid expansion of natural gas development through “fracking” and oil production from shale deposits has driven much of the growth that the U.S. economy has mustered during his presidency. Permits for oil and gas exploration and development on federal land have slowed; offshore oil and gas activity has been blocked, especially after the Deepwater Horizon spill of 2010, even in defiance of the courts; and the Environmental Protection Agency has pushed new emissions rules despite Congress’s refusal to pass a cap-and-trade bill.


Obama has long singled out coal in particular. In January 2008, as he sought to outflank rival presidential candidate Hillary Clinton on the left, then-Sen. Obama promised to “bankrupt” new coal plants. His administration issued heavy-handed new regulations on coal, forcing many plants out of production. And his left-wing supporters in Hollywood have cheered him on, encouraging him to bypass Congress, far from the job losses that will occur. Politicians of both parties in coal-producing state have protested, to little avail.

Earlier this week, seven governors wrote to the president to urge him to stop new EPA regulations on the new source performance standard (NSPS) for new coal power plants, arguing that they would cause plants to be shuttered, and pointing out the industry’s own progress on reducing emissions. Pennsylvania Gov. Tom Corbett (R) was one of the seven, and wrote to the president: “It is imperative that abundant natural resources such as coal continue to be available to meet our base load electricity needs. I am convinced that we can achieve this goal, while lowering emissions. Significant technological advancements in generating plant efficiency and emission capture and reduction are within reach, but need regulatory flexibility that does not discriminate against our own home-grown energy resources if they are to be achieved.”
Nevertheless, Obama is expected to announce an expansion of regulations. The New York Times reported last week that the president would seek to apply regulations to existing coal plants as well as new ones. 
In his speech at the Brandenburg Gate in Berlin, Germany last week, President Obama warned of the need to take action against “coastlines that vanish, oceans that rise”–an echo of his much-lampooned 2008 speech in Minneapolis upon winning the Democratic nomination, in which he said that he was “absolutely certain” that future generations would remember his nomination and anticipated victory as the moment that “when the rise of the oceans began to slow and our planet began to heal.”
For Obama and his most radical supporters, that moment was much delayed–perhaps, until today.
"
12118	http://www.breitbart.com/Big-Government/2013/03/31/Children-Viciously-Attacked-For-Testifying-Against-Same-Sex-marriage	News	0	Gay Rights	None	Neutral	Neutral	breitbart.com	"

In the past two months, in attempts to offer an argument against same-sex marriage, two children have testified before their state legislators, countering other children who have been testifying for it. The two children testifying against it have either been crudely insulted or received death threats.


In February, speaking to the Minnesota House Committee on Civil Law, 11-year-old Grace Evans offered this statement:
My name is Grace Evans, and I would like to thank you for letting me speak today. Even though I’m only 11 years old, I know that everyone deserves to have a mom and a dad. If you change the laws that two moms or two dads can get married, it would take away something very important for children like me across the state. My mom is very important to me, because she teaches me things about being a girl. She is  kind, thoughtful, gentle and beautiful. She cares for me and others and listens vey well to the things I want to talk to her about. I am learning from her to be a good woman, wife and mother someday. Even though I learned some of these things from my dad, my mom teaches them in a very special way. Without my mom, it would be very hard for me to learn them. She is my role model in how to be a girl and I love her very much. My dad is also very important to me because he protects me and helps me get the confidence to be a girl who is growing up to be a woman. He takes care of problems in a way that my mom cannot. Just like the way my mom could not be the woman she is without my dad, I wouldn’t be the woman I want to be without my dad. Because he is strong, wise and different from my mom, I learn things from him that I would not be able to learn in the same way from my mom. Since every child needs a mom and dad to be born, I don’t think we can change that children need a mom and a dad. I believe God made it that way. I know some disagree, but I want to ask you this question: which parent do I not need, my mom or my dad? I’ll ask again, which parent do I not need, my mom or my dad? I hope that you can see that every child needs a mom and a dad. Please don’t change your law to say otherwise. Thank you for letting me speak today.
Her father, Jeff Evans, revealed the treatment Grace had received from political opponents:

We haven’t had any physical threats, but we’ve had some rather colorful comments about my 11-year-old. I’ve been monitoring it to keep my family safe and have a heads up on it. It’s really shameful the things that people will say, hiding behind an Internet alias. We see it as more representative of where political discourse is in our country, where you can’t take a position without receiving a great deal of flak, which is unfortunate.
YouTube comments included one calling Grace “an 11-year-old bigot.” Another said, “when did 11 year old children become so repugnantly smug? this is gross and offensive, and not just to gay people. single mothers, widowers, divorced parents… i mean,? just shut the fuck up until you until you’ve seen a little more of the world, puppet child.” On the Facebook page for A Minnesota news website, the heading read “Stupid Indoctrinated Child.”
Evans said, “Supporters of gay marriage are deceitfully claiming that the legalization of gay marriage won’t affect our religious freedoms or freedom of speech. I do not believe them. These attacks on Grace are an example of how we have already lost many of these freedoms. In fact, it’s so bad, they aren’t afraid to viciously attack an 11-year-old girl. Imagine what it will be like if gay marriage becomes legal in Minnesota.”
In January, Sarah Crank, 14, received death threats after testifying before the Maryland state senate. She testified:
Hi, I’m Sarah Crank. Today’s my 14th birthday, and it would be the best birthday present ever if you would vote “no” on gay marriage. I really feel bad for the kids who have two parents of the same gender. Even though some kids think it’s fine, they have no idea what kind of wonderful experiences they miss out on. I don’t want more kids to get confused about what’s right and okay. I really don’t want to grow up in a world where marriage isn’t such a special thing anymore.

It’s rather scary to think that when I grow up the legislature or the court can change the definition of any word they want. If they could change the definition of marriage then they could change the definition of any word. People have the choice to be gay, but I don’t want to be affected by their choice. People say that they were born that way, but I’ve met really nice adults who did change.  So please vote “no” on gay marriage. Thank you.
TFP Student Action, a Roman Catholic organization, recorded some of the threats on the YouTube video of Sarah’s speech went viral on homosexual websites. Some of them read:
                If I ever see this girl, I will kill her. That’s a promise.
Her parents should be exterminated.
Kill this child and his [sic] parent, for my 11 birthday would be a wonderful gift, thanks.”
I hope you? get raped by your married parents.–madisonen;
Stupid bi**h – I? hope you die on your Bday!!!!!–geminiboi007;
A dumb way for a dumb bi**h to? do dumb things. Stop talking nonsense that your Christian, Anti-Gay parents are force-feeding you through a thin straw, and learn to accept other people. Now shut up bi**h, before I smack you.–123adbnvcs

"
12123	http://www.breitbart.com/Big-Journalism/2013/12/19/duck-dynasty-major-media-trash-christianity%20as-anti-gay	Opinion	0	Gay Rights	None	Negative	Positive	breitbart.com	"
Nothing “Duck Dynasty” patriarch Phil Robertson said was anything close to anti-gay. It might have been characteristically blunt, but Robertson neither singled out homosexuals nor questioned the humanity of gay people. Robertson focused on sexual behavior, including the sexual behavior of heterosexuals. The major media are merely using Robertson’s quotes to advance their own anti-Christian bigotry by smearing Christian beliefs as de facto bigotry and launching a McCarthyist campaign to silence Christians. 
When you have major media outlets declaratively describing Robertson’s expression of his Christian beliefs as “anti-gay,” what you are really seeing is major media outlets outing themselves as anti-Christian. 


Politico. CNN. The Hollywood Reporter. Entertainment Weekly. Yahoo. Variety. And so on…
Robertson listed more than a half-dozen sins other than homosexual behavior, including a number of heterosexual behaviors, and “the greedy, the drunkards, the slanderers, the swindlers”. 
It is certainly possible to try to disguise anti-gay bigotry as Christianity. Singling out gay people and not distinguishing between homosexuals as people and homosexual behavior are two of the most glaring examples. 

But Robertson did neither. What he did do was to speak a Christian truth about various sins, and the media know this. 
Anti-sin is not anti-gay. 
But because the media and left are desperate to toxify Christianity as bigotry and bully Christians into silence, Robertson’s remarks are seen as the perfect opportunity to do both. 
Of course it is an added benefit to the media to try to tarnish a culturally conservative mega-hit, and maybe drive it off the air. 
What we have here is nothing more than the media practicing McCarthyism and disguising it as tolerance. 

Notice how the media are not reporting on the most important thing Robertson said:

You put in your article that the Robertson family really believes strongly that if the human race loved each other and they loved God, we would just be better off. We ought to just be repentant, turn to God, and let’s get on with it, and everything will turn around.

Governor Sarah Palin put this exactly right when she said this is an attack on “all of us.” 
 

This post has been updated to add a correct Robertson quote about loving the human race.  
Follow  John Nolte on Twitter @NolteNC               
"
12143	http://www.breitbart.com/Big-Journalism/2013/03/30/No-Media-Outrage-After-Sotomayor-Compares-Homosexuality-to-Incest	Opinion	1	Gay Rights	None	SomewhatNegative	SomewhatPositive	breitbart.com	"
If you want proof of how vicious the mainstream media is when it comes to punishing black conservatives for daring to be black and conservative, look no further than the media’s coordinated attack against the openly conservative Dr. Ben Carson for making the exact same kind of argument about same-sex marriage as Supreme Court Justice Sotomayor did on the exact same day. 
Tuesday night, during an appearance on Fox News Channel’s “Hannity,” Sean Hannity asked Dr. Carson about his thoughts on same-sex marriage. Here is Carson’s response in full: [emphasis added]


DR. BEN CARSON
Marriage is between a man and a woman. It is a well-established fundamental pillar of society, and no group — be they gays, be they NAMBLA [North American Man/Boy Love Association], be they people who believe in bestiality — no matter what they are, they don’t get to change the definition. So it’s not something that’s against gays; it’s against anybody who wants to come along and change the fundamental definition of pillars of society.  It has significant ramifications.
It took a few days for Media Matters and the rest of the organized-left to gin up the outrage needed to grab hold of the mainstream media’s attention. But by Friday afternoon, Dr. Carson found himself under direct fire. NBC News’ Andrea Mitchell brought Carson on her MSNBC show for a grilling, as did CNN’s Wolf Blitzer. 

Mitchell and Blitzer were equally horrified over what they characterized as Carson’s comparing of gay relationships to relationships that are considered immoral and illegal. Carson did apologize, but he also explained (in so many words) that he was not engaging in an argument of comparison, but rather a slippery-slope argument of where changing the definition of marriage could eventually lead. 
Obviously that is what Carson was doing. And as shown below, it is a commonplace thing to do and an important consideration when lawyers, judges, and adults discuss significant and fundamental legal changes of the sort raised by the question of same-sex marriage before the Supreme Court.  
But that didn’t matter to a CNN and NBC desperate to publicly destroy a man who “doesn’t know his place.” We’ve seen this media playbook before with Clarence Thomas, and most recently with Herman Cain. (In CNN’s defense, they did not stoop as low as NBC News.)
If you want proof that what NBC News and CNN engaged in yesterday was nothing more than an ideological witch hunt against a racial apostate, where was the outrage from this very same media on Tuesday after Justice Sotomayor raised the exact same kind of slippery-slope argument Carson did, herself citing illegal and immoral examples?
Below is from the official Supreme Court transcript of Tuesday’s oral arguments on the constitutionality of Prop 8, which bans same-sex marriage in the state of California. According to page 46 of the transcript, Supreme Court Justice Sonia Sotomayor (a liberal Obama appointee) compared same-sex relationships to polygamy and the horrors of incest:

JUSTICE SOTOMAYOR:
Mr. Olson, the bottom line that you’re being asked — and — and it is one that I’m interested in the answer: If you say that marriage is a fundamental right, what State restrictions could ever exist? Meaning, what State restrictions with respect to the number of people, with respect to — that could get married — the incest laws, the mother and the child, assuming they are of age — I can — I can accept that the State has probably an overbearing interest on — on protecting the a child until they’re of age to marry, but what’s left?
To be clear, I do not believe Sotomayor compared homosexuality to anything. What she did is what Dr. Carson did: she played devil’s advocate about the slippery-slope of what might come next if we open the Pandora’s box of changing the definition of marriage. And to make that argument, like Dr. Carson, she used illegal and immoral relationships (not homosexuality) as slippery slope concerns should the definition of marriage be held to include gay marriage.
But no one on the left or in the media cared that Sotomayor used the horror of incest to make a point about same-sex marriage — because Sotomayor is a leftist and they know which way she is going to rule. Moreover, the point she was making was obvious.
The point Carson was making was just as obvious. But because the right-leaning Carson is both black and conservative, which makes him a threat to the left-leaning mainstream media’s  attempted stranglehold on the Narrative, doesn’t “know his place,” Wolf Blitzer and Andrea Mitchell and NBC News and CNN played “gotcha” with him to “put him back in his place.”
Mitchell and Blitzer are not racists, but they do need to take a step back and realize that, in their zeal to aid and abet the left, they are wielding the same kind of double standards and show-trials of humiliation we saw in the segregated South. Back then it was all about the use of character assassination to keep blacks from obtaining the kind of political power that comes with public prestige. Today the media and left use similar tactics against those the media sees as “apostates” — especially black conservative men. 
And the goal is to send a message that says, “Shut up or this will happen to you.” 
 
Follow John Nolte on Twitter @NolteNC                
"
12168	http://www.breitbart.com/Big-Government/2013/03/31/Children-Viciously-Attacked-For-Testifying-Against-Same-Sex-marriage	News	1	Gay Rights	None	Neutral	Neutral	breitbart.com	"

In the past two months, in attempts to offer an argument against same-sex marriage, two children have testified before their state legislators, countering other children who have been testifying for it. The two children testifying against it have either been crudely insulted or received death threats.


In February, speaking to the Minnesota House Committee on Civil Law, 11-year-old Grace Evans offered this statement:
My name is Grace Evans, and I would like to thank you for letting me speak today. Even though I’m only 11 years old, I know that everyone deserves to have a mom and a dad. If you change the laws that two moms or two dads can get married, it would take away something very important for children like me across the state. My mom is very important to me, because she teaches me things about being a girl. She is  kind, thoughtful, gentle and beautiful. She cares for me and others and listens vey well to the things I want to talk to her about. I am learning from her to be a good woman, wife and mother someday. Even though I learned some of these things from my dad, my mom teaches them in a very special way. Without my mom, it would be very hard for me to learn them. She is my role model in how to be a girl and I love her very much. My dad is also very important to me because he protects me and helps me get the confidence to be a girl who is growing up to be a woman. He takes care of problems in a way that my mom cannot. Just like the way my mom could not be the woman she is without my dad, I wouldn’t be the woman I want to be without my dad. Because he is strong, wise and different from my mom, I learn things from him that I would not be able to learn in the same way from my mom. Since every child needs a mom and dad to be born, I don’t think we can change that children need a mom and a dad. I believe God made it that way. I know some disagree, but I want to ask you this question: which parent do I not need, my mom or my dad? I’ll ask again, which parent do I not need, my mom or my dad? I hope that you can see that every child needs a mom and a dad. Please don’t change your law to say otherwise. Thank you for letting me speak today.
Her father, Jeff Evans, revealed the treatment Grace had received from political opponents:

We haven’t had any physical threats, but we’ve had some rather colorful comments about my 11-year-old. I’ve been monitoring it to keep my family safe and have a heads up on it. It’s really shameful the things that people will say, hiding behind an Internet alias. We see it as more representative of where political discourse is in our country, where you can’t take a position without receiving a great deal of flak, which is unfortunate.
YouTube comments included one calling Grace “an 11-year-old bigot.” Another said, “when did 11 year old children become so repugnantly smug? this is gross and offensive, and not just to gay people. single mothers, widowers, divorced parents… i mean,? just shut the fuck up until you until you’ve seen a little more of the world, puppet child.” On the Facebook page for A Minnesota news website, the heading read “Stupid Indoctrinated Child.”
Evans said, “Supporters of gay marriage are deceitfully claiming that the legalization of gay marriage won’t affect our religious freedoms or freedom of speech. I do not believe them. These attacks on Grace are an example of how we have already lost many of these freedoms. In fact, it’s so bad, they aren’t afraid to viciously attack an 11-year-old girl. Imagine what it will be like if gay marriage becomes legal in Minnesota.”
In January, Sarah Crank, 14, received death threats after testifying before the Maryland state senate. She testified:
Hi, I’m Sarah Crank. Today’s my 14th birthday, and it would be the best birthday present ever if you would vote “no” on gay marriage. I really feel bad for the kids who have two parents of the same gender. Even though some kids think it’s fine, they have no idea what kind of wonderful experiences they miss out on. I don’t want more kids to get confused about what’s right and okay. I really don’t want to grow up in a world where marriage isn’t such a special thing anymore.

It’s rather scary to think that when I grow up the legislature or the court can change the definition of any word they want. If they could change the definition of marriage then they could change the definition of any word. People have the choice to be gay, but I don’t want to be affected by their choice. People say that they were born that way, but I’ve met really nice adults who did change.  So please vote “no” on gay marriage. Thank you.
TFP Student Action, a Roman Catholic organization, recorded some of the threats on the YouTube video of Sarah’s speech went viral on homosexual websites. Some of them read:
                If I ever see this girl, I will kill her. That’s a promise.
Her parents should be exterminated.
Kill this child and his [sic] parent, for my 11 birthday would be a wonderful gift, thanks.”
I hope you? get raped by your married parents.–madisonen;
Stupid bi**h – I? hope you die on your Bday!!!!!–geminiboi007;
A dumb way for a dumb bi**h to? do dumb things. Stop talking nonsense that your Christian, Anti-Gay parents are force-feeding you through a thin straw, and learn to accept other people. Now shut up bi**h, before I smack you.–123adbnvcs

"
12175	http://www.breitbart.com/Big-Journalism/2013/03/26/Same-Sex-Marriage-Is-the-Medias-Vehicle-the-Destination-Is-to-Destroy-Church	Opinion	1	Gay Rights	None	Negative	Neutral	breitbart.com	"

If anyone wants to argue that the same government currently forcing religious institutions to purchase the abortion pill through ObamaCare will not eventually use civil rights violations in order to attempt to force the Church to perform same-sex marriage ceremonies — good luck with that.  
But this would have been unthinkable five years ago. 
It was just three months ago that the White House and media piled on a reverend for preaching the Bible’s teachings on homosexuality. The result was his invitation to speak at Obama’s inauguration being rescinded. 


This would have been unthinkable five years ago. 
With the election of Pope Francis, we have news anchors openly clamoring that the Church is out of step on same-sex marriage.
This would have been unthinkable five years ago. 

Fifteen years ago, the same leftists and media assuring us today that same-sex marriage won’t be imposed on the Church were telling us that civil unions (which I’ve always supported) would never lead to gay marriage.
With all that in mind, am I really supposed to buy that, within five years (maybe five days), the left and the media won’t be incessantly asking this question: “If the Church cannot legally refuse to marry an interracial couple, how can it legally refuse same-sex couples?” 
There are many good and well-intentioned people who believe same-sex couples should be allowed to marry. Much of the support from the right comes from our “live and let live” philosophy, which I share. But another liberty is on the line, and that is religious liberty. This push from the media has never been about allowing gay couples to marry; it’s about the left’s lifelong crusade to destroy the Church. 
The endgame is to declare the Bible and Christian beliefs de facto bigotry:
I have a right to defend myself. And to point out the hypocrisy of people who justify anti-gay bigotry by pointing to the Bible, and insisting we must live by the code of Leviticus on this one issue and no other. 

That is not some crackpot talking. That is Dan Savage, who has worked with no less than President Obama. And Hillary Clinton, Nancy Pelosi… And the media loves him. 
Once this idea turns into anything close to mainstream with the left, the left’s legal harassment and outright harassment against the Church will be unceasing. (Muslims, of course, will never be bothered.)
Offering committed same-sex couples the same legal rights (and headaches) married couples enjoy is something I have supported for about twenty years. 
Civil unions are something I feel strongly enough about that, here in North Carolina, I did not vote in favor of making same-sex marriage unconstitutional last year. My concern was that the wording of the referendum would give lawmakers the power to ban civil unions. 
But I oppose same-sex marriage because marriage is a sacrament, and there is a big difference between asking one to be tolerant, and demanding one condone. 
Being gay is no more a sin than being straight. But just as straight people can engage in sinful behavior, so can gays. Asking me to condone anyone’s sinful behavior is asking too much. That is the complete opposite of bigotry, by the way — you know, applying the exact same standard to everyone. 
But when the State and its media attempt to force the Church to condone such a thing (and they will), what is unthinkable to many of the well-intentioned today will become a terrible reality. 
UPDATE: Erick Erickson at RedState:

Within a year or two we will see Christian schools attacked for refusing to admit students whose parents are gay. We will see churches suffer the loss of their tax exempt status for refusing to hold gay weddings. We will see private businesses shut down because they refuse to treat as legitimate that which perverts God’s own established plan. In some places this is already happening. …
The left cannot allow Christians to continue to preach the full gospel. We already see this in, of all places, Canada. Gay marriage is incompatible with a religion that preaches that the unrepentant are condemned, even of a sin the world has decided is not one. The religious freedom will eventually be ended through the judiciary. We should work to extend that freedom as long as we can.
Now many of you have read through this and you are shaking your head in denial. “No way this is possible,” you say. But then just a decade ago no one seriously considered gay marriage as possible. And we are already seeing signs we’re headed in this direction. It’s coming. Get ready.
 

Follow  John Nolte on Twitter @NolteNC
"
12217	http://www.breitbart.com/Big-Journalism/2013/04/16/Liberal-Magazine-Admits-Gay-Marriage-Leads-to-Polygamy-and-Endorses-Both	Opinion	1	Gay Rights	None	SomewhatNegative	Neutral	breitbart.com	400
12308	http://www.breitbart.com/Big-Peace/2013/09/02/Putin-Syria-gays	Opinion	0	Gay Rights	None	SomewhatNegative	Neutral	breitbart.com	"
In a display of utter political incoherence, President Obama plans to meet with lesbian, gay, bisexual and transgender advocates in Russia while visiting the Kremlin, even as he attempts to lobby Russian President Vladimir Putin for support on an international military action against Syria. Russian opposition to American intervention in Syria has been a major factor in Obama’s decision to seek approval from Congress for military action in Syria. On Saturday, Obama blasted the UN Security Council, a veiled reference to Russia, by calling it “completely paralyzed and unwilling to hold [Syrian President Bashar] Assad accountable.”
While in Moscow, Obama plans to meet with human rights activists Lev Ponomarev and Lyudmila Alexeyeva, legal aid non-governmental-organization director Pavel Chikov, and Coming Out.


Russia and the United States have been at odds over myriad issues over the past few months, including Russia’s grant of asylum to NSA leaker Edward Snowden, Russia’s law against “gay propaganda,” and Russia’s Middle Eastern policy in support of Iran and Syria.

President Obama’s language has become markedly dismissive of Putin and Russia; in a recent press conference, Obama characterized Putin as demonstrating the body language of a “bored kid in the back of a classroom.” That language was said to have infuriated the notoriously prickly Putin. During that same press conference, Obama said, “One of the things I’m really looking forward to is maybe some gay and lesbian athletes bringing home the gold or silver or bronze, which I think would go a long way in rejecting the kind of attitudes that we’re seeing there.”
The White House website brags about Obama’s stellar relationship with Russian leadership: “In one of his earliest new foreign policy initiatives, President Obama sought to reset relations with Russia and reverse what he called a ‘dangerous drift’ in this important bilateral relationship.”
Ben Shapiro is Editor-At-Large of Breitbart News and author of the New York Times bestseller “Bullies: How the Left’s Culture of Fear and Intimidation Silences America” (Threshold Editions, January 8, 2013).

"
12347	http://www.breitbart.com/Big-Government/2013/08/24/Churches-Consider-Changing-By-Laws-To-Protect-Against-Same-Sex-Marriage-Lawsuits	News	0	Gay Rights	None	Neutral	Neutral	breitbart.com	400
